阶段,状态/界面,特效名称,出现位置,表现说明,主要代码位置,参考1,参考2,参考3
,,shake 受击抖动,玩家或敌人受击时,随机抖动偏移,contexts/combat/mvc/views/combat_view.py,"=HYPERLINK(""https://store.godotengine.org/asset/ramokz/phantom-camera/"",""Godot Phantom Camera｜提供平滑阻尼、跟随、切换与动态镜头过渡，适合阶段式位移和震动编排｜https://store.godotengine.org/asset/ramokz/phantom-camera/"")","=HYPERLINK(""https://store.godotengine.org/asset/rokojori/rokojori-action-library/"",""Godot Rokojori Action Library｜支持动作链、动画、UI与逻辑编排，适合多阶段演出和循环动作｜https://store.godotengine.org/asset/rokojori/rokojori-action-library/"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"",""Unity Distortion Shockwaves VFX｜适合脉冲、冲击波、融合瞬间扭曲和径向外扩｜https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"")"
,,wobble 受击摆动,玩家或敌人受击时,带衰减的正弦摆动,contexts/combat/mvc/views/combat_view.py,"=HYPERLINK(""https://store.godotengine.org/asset/rokojori/rokojori-action-library/"",""Godot Rokojori Action Library｜支持动作链、动画、UI与逻辑编排，适合多阶段演出和循环动作｜https://store.godotengine.org/asset/rokojori/rokojori-action-library/"")","=HYPERLINK(""https://store.godotengine.org/asset/realnikich/blastbullets2d/"",""Godot BlastBullets2D｜强调平滑插值、拖尾挂接与粒子附件，适合高速移动和飞行轨迹效果｜https://store.godotengine.org/asset/realnikich/blastbullets2d/"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"",""Unity Distortion Shockwaves VFX｜适合脉冲、冲击波、融合瞬间扭曲和径向外扩｜https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"")"
,,飘字,伤害/治疗/自信变化反馈,数字向上漂浮并逐渐淡出,contexts/combat/mvc/views/fx_controller.py,"=HYPERLINK(""https://store.godotengine.org/asset/indiegesindel/sprite-label/?url_changed=true"",""Godot SpriteLabel｜适合做像素风或精灵字形的飘字/数值提示显示层｜https://store.godotengine.org/asset/indiegesindel/sprite-label/?url_changed=true"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/power-up-s-vfx-107847"",""Unity Power Up's VFX｜适合恢复、增益、光环和正向反馈型粒子表现｜https://assetstore.unity.com/packages/vfx/particles/power-up-s-vfx-107847"")"
,,受击粒子,伤害反馈,暖色 additive 爆发粒子,contexts/combat/rendering/fx.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/simple-fx-cartoon-particles-67834"",""Unity Simple FX - Cartoon Particles｜适合风格化受击爆点、击中火花和轻量战斗粒子｜https://assetstore.unity.com/packages/vfx/particles/simple-fx-cartoon-particles-67834"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/epic-toon-vfx-4-fire-and-water-effects-279952"",""Unity Epic Toon VFX 4 - Fire and Water effects｜适合风格化冲击、斩击、火焰和结果过渡表现｜https://assetstore.unity.com/packages/vfx/particles/epic-toon-vfx-4-fire-and-water-effects-279952"")","=HYPERLINK(""https://www.cgjoy.com/thread-243317-1-1.html"",""CGJOY ivan boyko 2D特效作品集｜包含火焰、烟雾、冲击波、能量球，适合融合、飞出和能量收束参考｜https://www.cgjoy.com/thread-243317-1-1.html"")"
,,治疗粒子,恢复反馈,halo、十字闪光与中心亮点组合,contexts/combat/rendering/fx.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/power-up-s-vfx-107847"",""Unity Power Up's VFX｜适合恢复、增益、光环和正向反馈型粒子表现｜https://assetstore.unity.com/packages/vfx/particles/power-up-s-vfx-107847"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/magic-particle-effects-95807"",""Unity Magic Particle Effects｜适合法术感、治疗感、能量雾和发光粒子｜https://assetstore.unity.com/packages/vfx/particles/magic-particle-effects-95807"")","=HYPERLINK(""https://www.cgjoy.com/thread-211268-1-1.html"",""CGJOY AE教程：能量球｜适合治疗 halo、中心亮点、能量核心和球形收束参考｜https://www.cgjoy.com/thread-211268-1-1.html"")"
,,手牌飞入与翻面,新进手卡,卡牌从屏幕下方飞入并伴随翻面动画,contexts/combat/mvc/views/hand_view.py,"=HYPERLINK(""https://store.godotengine.org/asset/rokojori/rokojori-action-library/"",""Godot Rokojori Action Library｜支持动作链、动画、UI与逻辑编排，适合多阶段演出和循环动作｜https://store.godotengine.org/asset/rokojori/rokojori-action-library/"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://store.godotengine.org/asset/realnikich/blastbullets2d/"",""Godot BlastBullets2D｜强调平滑插值、拖尾挂接与粒子附件，适合高速移动和飞行轨迹效果｜https://store.godotengine.org/asset/realnikich/blastbullets2d/"")"
,,手牌 hover 抬升与放大,hover 或 drag 手卡时,卡牌上抬并放大,contexts/combat/mvc/views/hand_view.py,"=HYPERLINK(""https://store.godotengine.org/asset/rokojori/rokojori-action-library/"",""Godot Rokojori Action Library｜支持动作链、动画、UI与逻辑编排，适合多阶段演出和循环动作｜https://store.godotengine.org/asset/rokojori/rokojori-action-library/"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-particles-effects-ui-particles-effects-289526"",""Unity VFX Particles Effects-Ui Particles-Effects｜适合按钮反馈、点击圆环、界面粒子和提示爆点｜https://assetstore.unity.com/packages/vfx/particles/vfx-particles-effects-ui-particles-effects-289526"")","=HYPERLINK(""https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"",""Godot Low Poly Precision Outline Shader｜支持精确多色描边，适合任务块、卡牌和界面包边高亮｜https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"")"
,,frontier 高亮,frontier 卡,金色高亮边框并跟随卡牌旋转,contexts/combat/mvc/views/hand_view.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/outline-glow-shaders-128995"",""Unity Outline / Glow Shaders｜适合描边、高亮、hover 外发光和边缘强调｜https://assetstore.unity.com/packages/vfx/shaders/outline-glow-shaders-128995"")","=HYPERLINK(""https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"",""Godot Low Poly Precision Outline Shader｜支持精确多色描边，适合任务块、卡牌和界面包边高亮｜https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"")","=HYPERLINK(""https://www.cgjoy.com/thread-279675-1-1.html"",""CGJOY U3D特效shader整合包｜适合 hover 亮化、描边、淡入淡出与移动端 URP 特效材质｜https://www.cgjoy.com/thread-279675-1-1.html"")"
,,不可打卡牌遮罩,不可打卡,暗色遮罩并显示不可用提示,contexts/combat/mvc/views/hand_view.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"",""Unity LB Hologram Shaders｜适合扫描线、闪烁、淡入淡出和科技感覆盖层｜https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"")","=HYPERLINK(""https://www.cgjoy.com/thread-279675-1-1.html"",""CGJOY U3D特效shader整合包｜适合 hover 亮化、描边、淡入淡出与移动端 URP 特效材质｜https://www.cgjoy.com/thread-279675-1-1.html"")"
,,拖拽瞄准箭头,需要指定目标的出牌拖拽,二次曲线箭头加箭头头部,contexts/combat/mvc/views/combat_view.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/magic-energy-line-generator-275055"",""Unity Magic/Energy Line Generator｜适合瞄准线、能量连线、曲线路径和目标指示｜https://assetstore.unity.com/packages/vfx/magic-energy-line-generator-275055"")","=HYPERLINK(""https://store.godotengine.org/asset/realnikich/blastbullets2d/"",""Godot BlastBullets2D｜强调平滑插值、拖尾挂接与粒子附件，适合高速移动和飞行轨迹效果｜https://store.godotengine.org/asset/realnikich/blastbullets2d/"")","=HYPERLINK(""https://www.cgjoy.com/thread-275365-1-1.html"",""CGJOY 新手做可交互电流效果的思路｜适合 Ribbon 拖尾、Noise、Sub Emitters 与拖尾型能量线参考｜https://www.cgjoy.com/thread-275365-1-1.html"")"
,,打牌飞出表现,出牌后,卡牌先飞到中央再飞出屏幕，拖尾并收束成光球,contexts/combat/mvc/views/fx_controller.py,"=HYPERLINK(""https://store.godotengine.org/asset/realnikich/blastbullets2d/"",""Godot BlastBullets2D｜强调平滑插值、拖尾挂接与粒子附件，适合高速移动和飞行轨迹效果｜https://store.godotengine.org/asset/realnikich/blastbullets2d/"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/magic-energy-line-generator-275055"",""Unity Magic/Energy Line Generator｜适合瞄准线、能量连线、曲线路径和目标指示｜https://assetstore.unity.com/packages/vfx/magic-energy-line-generator-275055"")","=HYPERLINK(""https://www.cgjoy.com/thread-243317-1-1.html"",""CGJOY ivan boyko 2D特效作品集｜包含火焰、烟雾、冲击波、能量球，适合融合、飞出和能量收束参考｜https://www.cgjoy.com/thread-243317-1-1.html"")"
,,战斗场景分层,背景/状态条/前景,多层场景叠放形成战斗景深关系,contexts/combat/rendering/layers.py; contexts/combat/mvc/views/combat_view.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/parallax-shader-76273?locale=ko-KR"",""Unity Parallax Shader｜适合通过视差制造层级深度和伪 3D 空间感｜https://assetstore.unity.com/packages/vfx/shaders/parallax-shader-76273?locale=ko-KR"")","=HYPERLINK(""https://store.godotengine.org/asset/csocram/a2d-projected-ground-shadow/"",""Godot 2D Projected Ground Shadow｜适合增强 2D 对象落地感与前后层次，辅助场景分层和空间感｜https://store.godotengine.org/asset/csocram/a2d-projected-ground-shadow/"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/game-vfx-bg-particle-effects-308380"",""Unity Game VFX - BG Particle Effects｜适合背景漂浮粒子、气氛层和场景环境分层｜https://assetstore.unity.com/packages/vfx/particles/game-vfx-bg-particle-effects-308380"")"
,,战败 game over 时间线演出,战斗失败时,红字渐入、panel 渐入、virtue 图像渐入并最终淡出,contexts/combat/mvc/views/combat_view.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"",""Unity LB Hologram Shaders｜适合扫描线、闪烁、淡入淡出和科技感覆盖层｜https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"")","=HYPERLINK(""https://www.cgjoy.com/thread-234840-1-1.html"",""CGJOY Unity 全息Shader/边缘光/扫描线教程包｜适合边缘光、扫描线、闪烁与淡入淡出表现｜https://www.cgjoy.com/thread-234840-1-1.html"")"
5-其他穿插界面,DECK,全屏半透明遮罩,卡组查看页,整屏半透明黑色遮罩压暗背景,contexts/deck/state.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"",""Unity LB Hologram Shaders｜适合扫描线、闪烁、淡入淡出和科技感覆盖层｜https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"")","=HYPERLINK(""https://www.cgjoy.com/thread-279675-1-1.html"",""CGJOY U3D特效shader整合包｜适合 hover 亮化、描边、淡入淡出与移动端 URP 特效材质｜https://www.cgjoy.com/thread-279675-1-1.html"")"
,,hover 卡牌大预览,卡组查看页,悬停卡牌时显示放大预览,contexts/deck/state.py,"=HYPERLINK(""https://store.godotengine.org/asset/rokojori/rokojori-action-library/"",""Godot Rokojori Action Library｜支持动作链、动画、UI与逻辑编排，适合多阶段演出和循环动作｜https://store.godotengine.org/asset/rokojori/rokojori-action-library/"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"",""Godot Low Poly Precision Outline Shader｜支持精确多色描边，适合任务块、卡牌和界面包边高亮｜https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"")"
6-结局界面,ENDING,结局背景色切换,结局页,根据 trigger reason 切换结局背景主色,contexts/ending/state.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/game-vfx-bg-particle-effects-308380"",""Unity Game VFX - BG Particle Effects｜适合背景漂浮粒子、气氛层和场景环境分层｜https://assetstore.unity.com/packages/vfx/particles/game-vfx-bg-particle-effects-308380"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"",""Unity LB Hologram Shaders｜适合扫描线、闪烁、淡入淡出和科技感覆盖层｜https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/parallax-shader-76273?locale=ko-KR"",""Unity Parallax Shader｜适合通过视差制造层级深度和伪 3D 空间感｜https://assetstore.unity.com/packages/vfx/shaders/parallax-shader-76273?locale=ko-KR"")"
附-共享模态层,共享模态层,全屏 dim 遮罩,阻塞型模态出现时,背后铺半透明黑色全屏遮罩,contexts/shared/ui/choice_modal.py; contexts/shared/ui/reward_bundle_modal.py; contexts/shared/ui/judgment_theater_modal.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"",""Unity LB Hologram Shaders｜适合扫描线、闪烁、淡入淡出和科技感覆盖层｜https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"")","=HYPERLINK(""https://www.cgjoy.com/thread-279675-1-1.html"",""CGJOY U3D特效shader整合包｜适合 hover 亮化、描边、淡入淡出与移动端 URP 特效材质｜https://www.cgjoy.com/thread-279675-1-1.html"")"
,,DeckChoiceModal hover 放大预览,meeting 中的大卡牌选择层,hover 的卡不在原网格中画，而是在上层画 1.5x 预览,contexts/shared/ui/deck_choice_modal.py,"=HYPERLINK(""https://store.godotengine.org/asset/rokojori/rokojori-action-library/"",""Godot Rokojori Action Library｜支持动作链、动画、UI与逻辑编排，适合多阶段演出和循环动作｜https://store.godotengine.org/asset/rokojori/rokojori-action-library/"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"",""Godot Low Poly Precision Outline Shader｜支持精确多色描边，适合任务块、卡牌和界面包边高亮｜https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"")"
,,Judgment Theater 老虎机式剧场演出,judgment / reviewer theater,滚轮依次停下并伴随 flash、shake 与槽位边灯动态闪烁,contexts/shared/ui/judgment_theater_modal.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-particles-effects-ui-particles-effects-289526"",""Unity VFX Particles Effects-Ui Particles-Effects｜适合按钮反馈、点击圆环、界面粒子和提示爆点｜https://assetstore.unity.com/packages/vfx/particles/vfx-particles-effects-ui-particles-effects-289526"")","=HYPERLINK(""https://www.cgjoy.com/thread-234840-1-1.html"",""CGJOY Unity 全息Shader/边缘光/扫描线教程包｜适合边缘光、扫描线、闪烁与淡入淡出表现｜https://www.cgjoy.com/thread-234840-1-1.html"")"
