slot_id,pool_bucket,rarity,primary_axis,secondary_axis,primary_role,card_type_pref,cost_band,resource_mode,bridge_pattern,pairing_scope,design_focus,guardrail,legacy_reference
R-C-01,core60,Common,frontier,none,starter,Attack,1,damage,frontier_hit,mono-red,抽上来就能打的前沿基础攻击，负责教会玩家抢先出牌,无前沿时也必须接近及格线，不写第二条件,red_latest_strike
R-C-02,core60,Common,frontier,none,starter,Attack,1,damage,frontier_hit,mono-red,第二张前沿基础攻击，偏向不同伤害型态例如随机或轻溅射,仍然只吃前沿，不叠第三计数,red_defense_and_strike
R-C-03,core60,Common,frontier,none,starter,Skill,1,block,frontier_hit,mono-red,前沿基础防守，成功时明显更赚，失败时也能止血,不要附带额外生成或跨色收益,red_frontier_guard
R-C-04,core60,Common,frontier,none,starter,Skill,1,energy,frontier_hit,mono-red,前沿成功后回一点节奏的基础技能,回能只服务继续出牌，不再叠抽牌,red_debate_steady
R-C-05,core60,Common,frontier,none,starter,Skill,1,draw,frontier_window,mono-red,简单抽牌并制造更多前沿窗口,Common 只承担开窗功能，不再写第二奖励,red_frontier_brief
R-C-06,core60,Common,frontier,none,bridge,Attack,1,damage,frontier_count,mono-red,前沿打击转成小收益的中段桥牌,奖励幅度控制在轻加成，避免抢 Rare 戏份,
R-C-07,core60,Common,frontier,none,bridge,Skill,1,utility,frontier_rule,mono-red,设定下一张或本次出牌为前沿的规则桥牌,不要再顺带抽牌或回能,red_mark_next_frontier
R-C-08,core60,Common,frontier,attempt,bridge,Attack,1,temp_card,frontier_to_attempt,mono-red,前沿成功后制造1张尝试，这是前沿进入尝试的第一桥,只负责造尝试，不再兼做大回能,red_frontier_annotation
R-C-09,core60,Common,frontier,none,bridge,Attack,1,damage,frontier_count,mono-red,按本回合前沿次数略微增伤的桥牌,只吃一种计数，不再额外挂非红条件,
R-C-10,core60,Common,frontier,none,defense,Skill,1,block,frontier_hit,mono-red,前沿成功时多给防或临时减压的保命牌,防御牌不要再顺手开太多引擎,
R-C-11,core60,Common,frontier,none,tempo,Skill,1,discount,frontier_refund,mono-red,前沿成功时让下一张牌减费或退款的节奏牌,必须写清上限，避免免费连锁,
R-C-12,core60,Common,frontier,none,answer,Attack,2,aoe,frontier_hit,mono-red,前沿版 AOE 解题，帮助红色处理群怪,未触发时也要能作为可用 AOE,
R-C-13,core60,Common,attempt,none,starter,Skill,1,temp_card,attempt_create,mono-red,单张生成1次尝试并附一点保命或整理,尝试本体必须简单，不再挂复杂条件,red_scribble_note
R-C-14,core60,Common,attempt,none,starter,Skill,2,temp_card,attempt_create,mono-red,双尝试生成器，是 Common 尝试核心,只做生成器，不兼任大额 draw engine,red_note_dance
R-C-15,core60,Common,attempt,frontier,bridge,Attack,1,damage,attempt_consume,mono-red,消费已打出的尝试或手中尝试得到增伤,不能同时再吃非红或随机,
R-C-16,core60,Common,tempo,frontier,bridge,Skill,1,energy,frontier_refund,mono-red,前沿成功返能的纯连接层 Common 核心,资源牌不再附带高伤害,red_keep_up
R-C-17,core60,Common,tempo,attempt,bridge,Skill,1,draw,attempt_refund,mono-red,当回合尝试次数达到阈值时小抽或小返能,Common 只给轻奖励，不做爆发,
R-C-18,core60,Common,lube,none,lube,Skill,1,draw,hand_fix,mono-red,纯润滑抽滤牌，不承担流派教学,不要写第三种机制词,
R-C-19,core60,Common,lube,none,lube,Skill,1,utility,hand_fix,mono-red,换牌或轻弃牌整理，让红色不堵手,只修手牌，不再写成长文案,
R-C-20,core60,Common,lube,none,attack,Attack,1,damage,generic,mono-red,通用红色平砍，服务所有构筑,保持高可拿性，不写窄条件,
R-C-21,core60,Common,lube,none,defend,Skill,1,block,generic,mono-red,通用防御牌，服务所有构筑,优先保手感而非花哨联动,
R-C-22,core60,Common,lube,none,answer,Attack,1,aoe,generic,mono-red,Common AOE，解决杂兵压力,不要绑定前沿成功才可用,
R-C-23,core60,Common,lube,none,answer,Skill,1,block+damage,generic,mono-red,对精英不至于太虚的混合牌,混合牌数值必须克制，不能双高,red_defense_and_strike
R-C-24,core60,Common,lube,none,tempo,Skill,1,discount,hand_fix,mono-red,当回合减费或修手牌的节奏润滑牌,不要顺带生成跨色牌,
R-C-25,core60,Common,micro,none,buildaround,Attack,2,tag_count,tag_build,mono-red,吃特定标签数量的偏执构筑钩子，类似 Perfected Strike 微包,只放一条统计，不兼做引擎,
R-C-26,core60,Common,micro,none,investment,Attack,2,upgrade_scale,upgrade_build,mono-red,吃升级资源的单卡偏执包,必须允许不成型时不拿,
R-C-27,core60,Common,lube,none,floor,Skill,0,utility,panic_button,mono-red,0费保下限或过牌手段,0费牌必须有严格上限或低影响,
R-X-28,cross15,Common,cross,offcolor,entry,Skill,1,utility,nonred_entry,any-non-red,首次非红后得到小收益，这是所有双色红牌的共同入口,入口牌只做开门，不做大 payoff,
R-X-29,cross15,Common,cross,offcolor,entry,Skill,1,temp_card,offcolor_seed,any-non-red,轻量获得他色牌或标记下张非红协同,生成牌的随机性只做调味,red_borrowed_lottery
R-X-30,cross15,Common,cross,offcolor,bridge,Skill,1,discount,nonred_to_red,any-non-red,打出非红后让下一张红牌更顺,Common 不做两段以上跨色清算,
R-U-31,core60,Uncommon,frontier,none,bridge,Attack,1,damage,frontier_count,mono-red,中段前沿打击，开始明显吃前沿次数,只吃前沿计数，不挂随机,
R-U-32,core60,Uncommon,frontier,none,bridge,Skill,2,draw,frontier_window,mono-red,继续开窗口并保持回合不断的中段桥牌,抽牌量和回能不要同张双高,
R-U-33,core60,Uncommon,frontier,none,payoff,Power,2,damage_scale,frontier_global,mono-red,前沿牌伤害提升的长期回报,数值要受前沿触发频率约束,red_frontier_damage_core
R-U-34,core60,Uncommon,frontier,none,payoff,Power,1,energy,frontier_every_x,mono-red,每 X 次前沿返能的长期回报,必须写每回合触发上限,red_frontier_triplet_energy
R-U-35,core60,Uncommon,frontier,none,payoff,Power,2,draw,frontier_on_play,mono-red,每次前沿抽1的主引擎 Power,和减费或回能不要叠在一起,red_frontier_continuous_draw
R-U-36,core60,Uncommon,frontier,none,payoff,Power,2,red_energy,first_frontier_each_turn,mono-red,每回合首次前沿给专属红能的结构牌,奖励要偏节奏而非纯数值,red_last_line
R-U-37,core60,Uncommon,frontier,none,finisher,Attack,2,damage,frontier_count,mono-red,按本回合前沿次数清算的单体或群体终结牌,终结牌本身不要顺带开引擎,
R-U-38,core60,Uncommon,attempt,none,starter,Skill,2,temp_card,attempt_burst,mono-red,一次制造多张尝试的 Uncommon 生成器,不再额外叠第三机制,red_inspiration_blade_rain
R-U-39,core60,Uncommon,attempt,none,payoff,Power,2,damage_scale,attempt_on_play,mono-red,每次打出尝试都额外造成伤害的放大器,只放大尝试，不扩大所有攻击,red_scribble_amplifier
R-U-40,core60,Uncommon,frontier,attempt,bridge,Skill,1,temp_card,frontier_to_attempt,mono-red,前沿成功时制造尝试并额外补一小步资源,桥牌只跨两层，不要再写非红,
R-U-41,core60,Uncommon,attempt,none,finisher,Attack,2,damage,attempt_count,mono-red,按本回合尝试数量清算的终结技,必须有上限避免廉价溢出,red_scribble_finisher
R-U-42,core60,Uncommon,tempo,frontier,bridge,Skill,1,energy,frontier_chain,mono-red,连续前沿时回补能量或减费，像战士条件退款,只奖励正确前沿顺序，不做无条件回能,
R-U-43,core60,Uncommon,tempo,attempt,bridge,Skill,1,discount,attempt_chain,mono-red,打出若干尝试后让下张牌免费或减费,减费必须指向红牌或指定类型,
R-U-44,core60,Uncommon,tempo,none,payoff,Power,3,discount,extra_draw,mono-red,本回合额外抽到的牌减费的速度型 Power,只给有限次数并限制下限,red_inspiration_preheat
R-U-45,core60,Uncommon,lube,none,answer,Attack,2,aoe,generic,mono-red,更强的 AOE 或随机多段清场牌,不能同时再承担主引擎职责,
R-U-46,core60,Uncommon,lube,none,defense,Skill,2,block,tempo_stop,mono-red,能保命又不完全离轴的中费防御,防御 rare 感不要提前下放,
R-U-47,core60,Uncommon,lube,none,lube,Skill,1,draw+utility,generic,mono-red,中费高质量润滑牌，保证构筑稳定,不要把它做成所有套牌必抓的超模,
R-U-48,core60,Uncommon,lube,none,answer,Attack,2,boss_answer,generic,mono-red,针对单大怪的爆发或效率解法,只负责单体解题，不再兼做清场,
R-U-49,core60,Uncommon,micro,none,buildaround,Power,1,special_counter,buildaround,mono-red,单卡带构筑感的偏执包，不是主轴,必须允许被跳过，不绑主流程,
R-X-50,cross15,Uncommon,cross,frontier,signpost,Skill,1,control,red_white_bridge,red-white,红白桥牌：前沿成功后触发轻排序或端点收益,只轻咬合白色，不抢白色主身份,
R-X-51,cross15,Uncommon,cross,attempt,signpost,Attack,1,control,red_white_bridge,red-white,红白桥牌：尝试命中时引发白色顺序或规整收益,红色负责出手，白色负责秩序放大,
R-X-52,cross15,Uncommon,cross,frontier,signpost,Skill,1,status,red_blue_bridge,red-blue,红蓝桥牌：前沿成功后施加少量解析或研究标记,别让红蓝变成纯抽牌自转,
R-X-53,cross15,Uncommon,cross,tempo,signpost,Power,2,card_flow,red_blue_bridge,red-blue,红蓝桥牌：抽牌与费用转换的混合件,必须比纯蓝资源牌更冒险,
R-X-54,cross15,Uncommon,cross,attempt,signpost,Attack,1,risk,red_black_bridge,red-black,红黑桥牌：尝试或连打把生命代价转收益,代价要显性，别做无脑高值,
R-X-55,cross15,Uncommon,cross,tempo,signpost,Skill,1,curse_cost,red_black_bridge,red-black,红黑桥牌：短期透支或自残换更猛回合,不要让黑色长期契约感被红色完全吃掉,
R-X-56,cross15,Uncommon,cross,frontier,signpost,Skill,1,growth,red_green_bridge,red-green,红绿桥牌：前沿成功后给牌成长或保留长期增益,红绿要像短期点火再交给长期成长,
R-X-57,cross15,Uncommon,cross,attempt,signpost,Power,2,block_growth,red_green_bridge,red-green,红绿桥牌：尝试次数转护甲成长或斩杀准备,不要让红绿同时又快又厚无代价,
R-R-58,core60,Rare,frontier,none,marquee,Power,2,draw+tempo,frontier_engine,mono-red,定义前沿构筑的招牌引擎 Rare,必须能看出这套牌的梦想而非只是数值高,
R-R-59,core60,Rare,frontier,none,finisher,Attack,3,damage,frontier_count,mono-red,真正属于前沿自己的大终结牌,不要再借尝试当主结算,
R-R-60,core60,Rare,frontier,none,showcase,Skill,2,rule_bend,frontier_rule,mono-red,改变前沿规则的 Rare，例如本回合额外消耗一次前沿,规则扭曲牌数量必须少,
R-R-61,core60,Rare,attempt,none,finisher,Attack,2,multi_damage,attempt_count,mono-red,尝试套牌的主终结技,必须要求前置生成，不做裸强牌,
R-R-62,core60,Rare,attempt,none,marquee,Power,1,attempt_rule,mono-red,定义尝试构筑上限的 Rare 能力牌,只改变尝试子系统，不覆盖整色,
R-R-63,core60,Rare,tempo,none,marquee,Skill,0,pseudo_energy,resource_convert,mono-red,伪能量 Rare，把别的资源转成行动次数,需要付出明确风险或条件,
R-R-64,core60,Rare,tempo,frontier,payoff,Power,2,amplify,first_hit,mono-red,前沿放大层 Rare，让整个颜色上限打开,同类放大 Rare 最多一到两张,
R-R-65,core60,Rare,lube,none,defense,Skill,3,block,save_turn,mono-red,稀有大保命，给快色一个能活下去的极限按钮,不应成为最优通解而压缩其他防御,
R-R-66,core60,Rare,lube,none,finisher,Attack,2,generic_burst,generic,mono-red,不依赖特定副轴也能作为红色通用收尾,通用收尾不能比专轴终结更值,
R-R-67,core60,Rare,micro,none,buildaround,Attack,2,tag_count,tag_build,mono-red,按某标签或生成牌数量结算的 Rare 微包,只让少量牌围绕它旋转,
R-R-68,core60,Rare,micro,none,investment,Attack,2,campfire_scale,upgrade_build,mono-red,吃升级或长期投入的偏执 Rare，类似 Searing Blow 微包,必须接受成型成本高,
R-R-69,core60,Rare,micro,none,showcase,Attack,3,high_variance,variance_show,mono-red,高波动展示牌，负责红色名场面,随机只给高光，不担保稳定性,
R-R-70,core60,Rare,micro,none,buildaround,Power,2,weird_rule,weird_build,mono-red,极端 build-around Rare，只给少数构筑,不要让它反客为主改写整色,
R-R-71,core60,Rare,lube,none,showdown,Skill,2,turn_convert,hand_to_burst,mono-red,把手牌质量或临时牌一次性转成爆发回合的 Rare,要像终局按钮而不是无脑循环,
R-X-72,cross15,Rare,cross,frontier,showcase,Skill,2,control,red_white_showcase,red-white,红白 showcase：前沿与顺序系统强咬合的双色梦想牌,必须让白色仍保有秩序主导权,
R-X-73,cross15,Rare,cross,tempo,showcase,Power,2,status,red_blue_showcase,red-blue,红蓝 showcase：额外抽牌与解析或研究滚雪球的双色梦想牌,要有风险感，别做纯理性永动,
R-X-74,cross15,Rare,cross,risk,showcase,Skill,1,self_cost,red_black_showcase,red-black,红黑 showcase：短期透支换极高爆发的双色梦想牌,代价必须足够黑，不是白送,
R-X-75,cross15,Rare,cross,growth,showcase,Attack,2,upgrade_finish,red_green_showcase,red-green,红绿 showcase：尝试或前沿被长期成长后清算的双色梦想牌,成长兑现要比单回合爆发更慢一步,
